employee_id,name,department,city,salary,years_experience,performance_score,hire_date
1001,David Wanjiru,HR,Nakuru,132468.0,0,,2015-01-01
1002,Paul Wambui,Sales,Nairobi,122705.0,19,4.4,2015-01-19
1003,Ann Muthoni,HR,Mombasa,103477.0,16,3.1,2015-02-06
1004,David Omondi,Marketing,Mombasa,44388.0,11,1.7,2015-02-25
1005,George Achieng,HR,Nakuru,35569.0,14,2.2,2015-03-15
1006,Daniel Wambui,Engineering,Nairobi,99836.0,0,2.2,2015-04-02
1007,Grace Kariuki,Engineering,Eldoret,134573.0,13,2.6,2015-04-21
1008,Peter Njoroge,Marketing,Eldoret,66586.0,5,2.7,2015-05-09
1009,Mary Kariuki,Sales,Mombasa,42015.0,4,4.2,2015-05-27
1010,Ruth Kiptoo,Engineering,Nairobi,75002.0,10,2.4,2015-06-15
1011,Faith Otieno,Finance,Mombasa,146594.0,3,2.9,2015-07-03
1012,James Ochieng,Engineering,Kisumu,36254.0,12,3.5,2015-07-21
1013,Ruth Njeri,Engineering,Mombasa,47144.0,10,2.5,2015-08-09
1014,Joseph Wambui,Sales,Mombasa,54214.0,2,4.3,2015-08-27
1015,Joyce Ochieng,HR,Eldoret,135654.0,0,,2015-09-14
1016,Lucy Auma,Engineering,Eldoret,110719.0,5,2.2,2015-10-03
1017,Paul Kiptoo,Marketing,Eldoret,101774.0,17,3.9,2015-10-21
1018,George Ochieng,HR,Kisumu,36090.0,9,3.1,2015-11-08
1019,Nancy Njeri,Finance,Eldoret,41637.0,4,3.1,2015-11-27
1020,Peter Odhiambo,Sales,Nairobi,52415.0,9,2.9,2015-12-15
1021,George Achieng,Finance,Nakuru,54071.0,11,,2016-01-03
1022,Michael Achieng,HR,Nairobi,88243.0,1,,2016-01-21
1023,Mercy Wanjiru,HR,Nairobi,140951.0,12,1.4,2016-02-08
1024,Esther Otieno,HR,Eldoret,138215.0,7,2.3,2016-02-27
1025,Michael Omondi,Finance,Nakuru,71240.0,1,1.3,2016-03-16
1026,Mary Wanjiru,HR,Nakuru,113807.0,19,4.0,2016-04-03
1027,Paul Ochieng,Finance,Nakuru,131570.0,0,2.1,2016-04-22
1028,David Ochieng,HR,Kisumu,63434.0,4,4.6,2016-05-10
1029,Ann Auma,Marketing,Eldoret,99724.0,8,3.1,2016-05-28
1030,Peter Kiptoo,HR,Nakuru,145359.0,16,4.2,2016-06-16
1031,Joseph Wanjiru,Finance,Kisumu,105697.0,8,4.9,2016-07-04
1032,Mercy Kariuki,Engineering,Mombasa,58732.0,10,4.4,2016-07-22
1033,Grace Otieno,HR,Mombasa,41314.0,14,4.5,2016-08-10
1034,Faith Njoroge,Engineering,Kisumu,53954.0,5,2.6,2016-08-28
1035,Joyce Wanjiru,Marketing,Kisumu,87108.0,2,3.2,2016-09-15
1036,Mercy Omondi,Sales,Eldoret,117044.0,16,2.0,2016-10-04
1037,Ruth Otieno,Marketing,Eldoret,117505.0,4,1.8,2016-10-22
1038,Joyce Kiptoo,HR,Mombasa,141195.0,11,3.0,2016-11-10
1039,Grace Kiptoo,Engineering,Nakuru,133081.0,17,3.4,2016-11-28
1040,Lucy Auma,Engineering,Mombasa,66668.0,13,2.4,2016-12-16
1041,Ann Kiptoo,Finance,Nakuru,53061.0,10,3.3,2017-01-04
1042,Ann Odhiambo,Engineering,Nakuru,109252.0,8,4.5,2017-01-22
1043,Lucy Muthoni,Finance,Eldoret,69749.0,1,3.2,2017-02-09
1044,Mercy Auma,Sales,Nairobi,134680.0,11,3.9,2017-02-28
1045,Samuel Njeri,HR,Nairobi,46907.0,2,4.2,2017-03-18
1046,Paul Muthoni,Finance,Kisumu,48777.0,2,5.0,2017-04-05
1047,James Njeri,Sales,Eldoret,123229.0,0,3.4,2017-04-24
1048,David Njeri,Engineering,Nakuru,81745.0,7,4.2,2017-05-12
1049,James Ochieng,Engineering,Nairobi,138464.0,7,4.9,2017-05-30
1050,Ann Kariuki,Sales,Nakuru,121865.0,10,4.8,2017-06-18
1051,Daniel Kamau,Engineering,Nairobi,142428.0,8,1.6,2017-07-06
1052,Joseph Kariuki,Sales,Nairobi,111818.0,4,2.6,2017-07-24
1053,Peter Kamau,Finance,Nairobi,53624.0,13,,2017-08-12
1054,James Wambui,Finance,Eldoret,53321.0,2,1.3,2017-08-30
1055,John Omondi,Sales,Mombasa,40488.0,4,3.5,2017-09-17
1056,David Omondi,Finance,Nakuru,,4,3.9,2017-10-06
1057,Michael Ochieng,Finance,Eldoret,35240.0,18,4.4,2017-10-24
1058,David Njeri,Finance,Eldoret,73221.0,13,1.5,2017-11-12
1059,Ann Ochieng,Marketing,Eldoret,40478.0,3,4.5,2017-11-30
1060,Mary Mwangi,HR,Eldoret,85645.0,12,3.6,2017-12-18
1061,Lucy Achieng,Engineering,Eldoret,,9,3.8,2018-01-06
1062,John Kamau,Marketing,Kisumu,49262.0,17,4.6,2018-01-24
1063,Ruth Kariuki,Finance,Nakuru,148831.0,7,3.5,2018-02-11
1064,Peter Mwangi,Sales,Eldoret,82796.0,7,,2018-03-02
1065,Peter Odhiambo,Finance,Nakuru,34432.0,6,4.3,2018-03-20
1066,Paul Kiptoo,HR,Kisumu,125257.0,7,2.5,2018-04-07
1067,Peter Mwangi,Finance,Kisumu,94291.0,13,1.1,2018-04-26
1068,John Omondi,Sales,Nakuru,109104.0,18,4.3,2018-05-14
1069,Esther Achieng,HR,Nairobi,89399.0,5,2.4,2018-06-01
1070,Michael Auma,Finance,Mombasa,109714.0,0,4.1,2018-06-20
1071,Paul Omondi,HR,Nairobi,80428.0,14,2.5,2018-07-08
